fsid,ns_birthplace,parish_search,latitude,longitude,country_API,county_API
G3LW-23Y,bredvik västerbotten sweden,Not identified,63.53728779999999,19.602233,Sweden,Västerbotten County
G3LZ-XCY,gryssjön bygdeå västerbotten sweden,BYGDEÅ,63.916667,20.716667,Sweden,Västerbotten County
G3M3-1SD,bockträsk västerbotten sweden,Not identified,65.4339605,18.2261611,Sweden,Västerbotten County
G3MH-MWV,kåge västerbotten sweden,Not identified,64.8356616,20.9846652,Sweden,Västerbotten County
G3ND-TMN,viska fredrika västerbotten sweden,FREDRIKA,64.0755442,18.4070511,Sweden,Västerbottens län
G3NS-8FB,umeå stad sweden,UMEÅ LANDS,63.8258471,20.2630354,Sweden,Västerbotten County
G3NY-3BP,avasjö västerbotten sweden,Not identified,64.27498779999999,16.9186696,Sweden,Västerbotten County
G3PQ-3QQ,medsele vindelns kommun västerbottens sweden,VINDELN,64.233333,19.6500001,Sweden,Västerbotten County
G3PY-P5K,mårtensboda lövånger västerbotten sweden,LÖVÅNGER,64.4511284,20.9489898,Sweden,Västerbotten County
G3QT-6J1,forsnäs västerbotten sweden,Not identified,64.58362629999999,20.6708971,Sweden,Västerbotten County
G3QT-RHR,ström västerbotten sweden,Not identified,63.71666699999999,20.2166671,Sweden,Västerbotten County
G3S9-W87,bastuselet västerbotten sweden,Not identified,65.43333299999999,18.6,Sweden,Västerbotten County
G3SY-ZR7,järnäs 1 nordmaling västerbotten sweden,NORDMALING,63.47666849999999,19.6429724,Sweden,Västerbotten County
G3T4-5NH,täfteå västerbotten sweden,Not identified,63.8373401,20.4834166,Sweden,Västerbotten County
G3TN-N9T,stennäs västerbotten sweden,Not identified,65.2330187,15.7567371,Sweden,Västerbotten County
G3TN-VGN,rissjön västerbotten sweden,Not identified,64.7534731,15.4766676,Sweden,Västerbotten County
G3VN-LP5,aspliden skellefteå västerbotten sweden,SKELLEFTEÅ,65.06667,20.83333,Sweden,Västerbotten County
G3VN-TBG,flakaträsk lycksele västerbotten sverige,LYCKSELE,64.25126,18.52424,Sweden,Västerbotten County
G3VS-629,degerbyn skellefteå landsförsamling västerbotten sweden,SKELLEFTEÅ,64.7517451,20.918945,Sweden,Västerbottens län
G3W2-7S1,bäcknäs västerbotten sweden,Not identified,64.8540903,17.9426312,Sweden,Västerbotten County
G3W9-489,levar nordmaling västernorrland sweden,NORDMALING,63.5797201,19.5320213,Sweden,Västerbotten County
G3W9-4B6,karlsbäck västerbotten sweden,Not identified,63.87831329999999,18.8763809,Sweden,Västerbotten County
G3WD-FWX,örafvan lycksele västerbotten sweden,LYCKSELE,64.6257251,18.0743316,Sweden,Västerbotten County
G3X8-2W9,umnäs stensele västerbotten sweden,STENSELE,None,None,None,
G3X8-PDN,bastansjö stensele västerbotten sweden,STENSELE,None,None,None,
G3X9-967,backstuga niepern stensele västerbotten sweden,STENSELE,65.0649864,17.1598298,Sweden,Västerbotten County
G3XB-DN3,stensele stensele västerbotten sweden,STENSELE,None,None,None,
G3XD-1MP,sandvik stensele västerbotten sweden,STENSELE,None,None,None,
G3XV-PM5,norrby lycksele västerbotten sweden,LYCKSELE,None,None,None,
G3XX-FQL,bergland vilhelmina västerbotten sweden,VILHELMINA,65.1987951,16.1388669,Sweden,Västerbotten County
G3YZ-9D1,mårdsjö fjällsjö sweden,Not identified,None,None,None,
G3ZR-3HD,mårdsjö västerbotten sweden,Not identified,64.2946407,16.5399125,Sweden,Västerbotten County
G415-QY4,degernäs umeå landsförsamling västerbotten sverige,UMEÅ LANDS,63.7667553,20.2560348,Sweden,Västerbotten County
G418-HWY,tegeltrask asele västerbotten sweden,ÅSELE,63.9273955,17.9317829,Sweden,Västerbotten County
G41P-C7Y,lövånger västerbotten sverige,LÖVÅNGER,64.36894149999999,21.3168482,Sweden,Västerbotten County
G41Z-XKN,drängsmark byske västerbotten sweden,BYSKE,None,None,None,
G41Z-XQW,stensjön byske västerbotten sweden,BYSKE,64.9950211,21.0799613,Sweden,Västerbotten County
G42H-YM2,holmsund sweden,Not identified,63.70738919999999,20.3639178,Sweden,Västerbotten County
G43F-PN3,jörn våsterbotten sweden,Not identified,65.0576818,20.0345638,Sweden,Västerbotten County
G43Z-8KP,jonasmarken västerbotten sweden,Not identified,64.35,20.7833329,Sweden,Västerbotten County
G44F-PGJ,ytterstfors byske västerbotten sweden,BYSKE,64.9390756,21.2169952,Sweden,Västerbottens län
G44T-GFR,sorsele sorsele kommun västerbotten sverige,SORSELE,65.5349378,17.5421752,Sweden,Västerbotten County
G45K-R65,holmsund västerbotten sverige,Not identified,63.70738919999999,20.3639178,Sweden,Västerbotten County
G45Y-S9B,robertsfors västerbotten sverige,ROBERTSFORS,64.191835,20.84891,Sweden,Västerbotten County
G46L-1JY,tärna västerbotten sverige,TÄRNA,65.7102325,15.2617847,Sweden,Västerbottens län
G46Q-8TZ,gammelbyn burträsk västerbotten sverige,BURTRÄSK,64.5197907,20.6566773,Sweden,Västerbotten County
